STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100101,0.07,0.7,0.07,0.7,20.3,28.4,12.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100102,0.13,1.4,0.13,1.4,20.1,28.2,11.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100103,0.20,2.1,0.20,2.1,19.8,28.0,11.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100104,0.27,2.7,0.27,2.7,19.6,27.9,11.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100105,0.33,3.4,0.33,3.4,19.4,27.7,11.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100106,0.40,4.1,0.40,4.1,19.3,27.6,11.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100107,0.47,4.7,0.47,4.7,19.1,27.4,10.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100108,0.53,5.4,0.53,5.4,19.0,27.3,10.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100109,0.59,6.1,0.59,6.1,18.8,27.2,10.4
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100110,0.66,6.7,0.66,6.7,18.7,27.1,10.3
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100111,0.73,7.4,0.73,7.4,18.6,27.0,10.2
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100112,0.79,8.1,0.79,8.1,18.5,26.9,10.0
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100113,0.86,8.8,0.86,8.8,18.4,26.9,9.9
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100114,0.92,9.5,0.92,9.5,18.3,26.8,9.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100115,0.99,10.2,0.99,10.2,18.3,26.8,9.8
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100116,1.06,10.9,1.06,10.9,18.2,26.7,9.7
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100117,1.12,11.6,1.12,11.6,18.2,26.7,9.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100118,1.19,12.2,1.19,12.2,18.2,26.7,9.6
GHCND:USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT VT US,20100119,1.26,12.9,1.26,12.9,18.2,26.7,9.6
